timestamp,resource_id,cpu_utilization,memory_utilization,network_in,network_out,disk_read,disk_write,storage_gb,request_count,runtime_hours
2026-07-15T00:00:00Z,i-0dev123456789a,3.81,21.66,39.28,33.95,7.34,7.34,50.0,58,24.0
2026-07-15T00:00:00Z,db-overprov-prod01,13.61,22.25,212.35,881.95,266.49,142.47,500.0,1772,24.0
2026-07-15T00:00:00Z,i-0nonprod998877,11.04,25.25,54.56,43.3,28.36,14.18,80.0,704,24.0
2026-07-15T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,19.12,25.7,100.0,139,24.0
2026-07-15T00:00:00Z,i-0prodapp0123,35.0,40.0,1000.0,4000.0,500.0,400.0,200.0,10000,24.0
2026-07-15T00:00:00Z,i-0spike991122,16.08,26.71,113.01,289.78,98.28,90.42,100.0,521,24.0
2026-07-15T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-15T00:00:00Z,i-0heavyworker01,91.58,81.6,6220.38,17427.65,2137.55,4682.62,1000.0,52938,24.0
2026-07-16T00:00:00Z,i-0dev123456789a,4.82,17.18,30.8,31.87,7.77,19.54,50.0,166,24.0
2026-07-16T00:00:00Z,db-overprov-prod01,15.37,21.59,753.12,353.1,139.2,109.05,500.0,1987,24.0
2026-07-16T00:00:00Z,i-0nonprod998877,10.71,28.29,48.54,42.47,26.28,14.23,80.0,1061,24.0
2026-07-16T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,29.74,25.44,102.0,139,24.0
2026-07-16T00:00:00Z,i-0prodapp0123,35.47,40.47,1041.67,4166.67,520.83,416.67,200.0,10416,24.0
2026-07-16T00:00:00Z,i-0spike991122,17.29,32.71,114.81,171.69,55.79,93.16,100.0,649,24.0
2026-07-16T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-16T00:00:00Z,i-0heavyworker01,82.89,79.66,8251.83,20944.09,4550.23,4605.24,1000.0,63610,24.0
2026-07-17T00:00:00Z,i-0dev123456789a,2.92,19.99,40.43,32.45,16.56,12.41,50.0,128,24.0
2026-07-17T00:00:00Z,db-overprov-prod01,10.15,18.65,218.86,681.85,162.87,201.71,500.0,2861,24.0
2026-07-17T00:00:00Z,i-0nonprod998877,12.1,27.56,38.3,26.16,18.69,14.84,80.0,1150,24.0
2026-07-17T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,22.67,27.43,104.0,260,24.0
2026-07-17T00:00:00Z,i-0prodapp0123,35.93,40.93,1083.33,4333.33,541.67,433.33,200.0,10833,24.0
2026-07-17T00:00:00Z,i-0spike991122,18.07,33.96,163.6,122.01,61.4,71.36,100.0,727,24.0
2026-07-17T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-17T00:00:00Z,i-0heavyworker01,82.1,82.66,9174.11,13331.62,2479.46,2681.65,1000.0,87145,24.0
2026-07-18T00:00:00Z,i-0dev123456789a,3.63,18.63,38.12,24.55,19.58,19.44,50.0,87,24.0
2026-07-18T00:00:00Z,db-overprov-prod01,11.81,19.71,222.13,665.74,200.54,110.3,500.0,1917,24.0
2026-07-18T00:00:00Z,i-0nonprod998877,4.2,21.45,59.16,98.85,17.26,30.16,80.0,80,24.0
2026-07-18T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,24.56,17.36,106.0,226,24.0
2026-07-18T00:00:00Z,i-0prodapp0123,36.4,41.4,1125.0,4500.0,562.5,450.0,200.0,11250,24.0
2026-07-18T00:00:00Z,i-0spike991122,18.35,28.21,137.3,108.16,79.54,83.88,100.0,406,24.0
2026-07-18T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-18T00:00:00Z,i-0heavyworker01,85.17,84.68,6743.66,20364.07,3546.94,4778.55,1000.0,46876,24.0
2026-07-19T00:00:00Z,i-0dev123456789a,3.69,15.79,46.99,45.09,8.87,14.9,50.0,172,24.0
2026-07-19T00:00:00Z,db-overprov-prod01,13.18,19.45,255.86,838.33,280.08,226.62,500.0,2008,24.0
2026-07-19T00:00:00Z,i-0nonprod998877,6.63,28.97,90.97,82.39,29.26,12.52,80.0,32,24.0
2026-07-19T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,22.13,10.18,108.0,120,24.0
2026-07-19T00:00:00Z,i-0prodapp0123,36.87,41.87,1166.67,4666.67,583.33,466.67,200.0,11666,24.0
2026-07-19T00:00:00Z,i-0spike991122,15.49,31.92,230.39,144.85,85.61,61.86,100.0,530,24.0
2026-07-19T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-19T00:00:00Z,i-0heavyworker01,91.09,87.74,11576.13,18524.63,2374.7,2787.01,1000.0,53260,24.0
2026-07-20T00:00:00Z,i-0dev123456789a,3.35,21.81,25.72,45.68,14.47,16.92,50.0,125,24.0
2026-07-20T00:00:00Z,db-overprov-prod01,12.96,19.17,633.47,468.46,104.86,229.09,500.0,1765,24.0
2026-07-20T00:00:00Z,i-0nonprod998877,17.54,29.15,49.61,21.24,37.85,22.85,80.0,1176,24.0
2026-07-20T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,27.06,15.89,110.0,177,24.0
2026-07-20T00:00:00Z,i-0prodapp0123,37.33,42.33,1208.33,4833.33,604.17,483.33,200.0,12083,24.0
2026-07-20T00:00:00Z,i-0spike991122,15.57,34.36,239.21,214.01,54.86,80.75,100.0,796,24.0
2026-07-20T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-20T00:00:00Z,i-0heavyworker01,89.26,88.16,12407.69,20455.24,4809.94,2758.22,1000.0,54679,24.0
2026-07-21T00:00:00Z,i-0dev123456789a,5.33,20.67,44.68,46.53,12.67,12.52,50.0,169,24.0
2026-07-21T00:00:00Z,db-overprov-prod01,14.21,22.77,734.0,502.8,175.12,118.8,500.0,2367,24.0
2026-07-21T00:00:00Z,i-0nonprod998877,12.66,25.43,42.92,67.27,10.92,11.12,80.0,1075,24.0
2026-07-21T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,12.54,20.44,112.0,253,24.0
2026-07-21T00:00:00Z,i-0prodapp0123,37.8,42.8,1250.0,5000.0,625.0,500.0,200.0,12500,24.0
2026-07-21T00:00:00Z,i-0spike991122,10.52,30.31,208.13,227.49,86.3,98.79,100.0,606,24.0
2026-07-21T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-21T00:00:00Z,i-0heavyworker01,93.13,79.06,9389.71,11176.85,2101.4,4869.27,1000.0,81799,24.0
2026-07-22T00:00:00Z,i-0dev123456789a,4.94,17.86,16.93,16.26,8.75,13.24,50.0,157,24.0
2026-07-22T00:00:00Z,db-overprov-prod01,11.68,23.73,642.74,632.61,222.34,183.92,500.0,1871,24.0
2026-07-22T00:00:00Z,i-0nonprod998877,15.58,20.14,29.29,23.68,11.22,35.66,80.0,992,24.0
2026-07-22T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,11.96,19.83,114.0,194,24.0
2026-07-22T00:00:00Z,i-0prodapp0123,38.27,43.27,1291.67,5166.67,645.83,516.67,200.0,12916,24.0
2026-07-22T00:00:00Z,i-0spike991122,16.16,31.35,109.06,174.92,81.29,75.16,100.0,742,24.0
2026-07-22T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-22T00:00:00Z,i-0heavyworker01,84.28,76.06,11424.19,10397.67,4343.1,4790.81,1000.0,68773,24.0
2026-07-23T00:00:00Z,i-0dev123456789a,3.86,19.5,28.33,31.82,19.12,10.79,50.0,194,24.0
2026-07-23T00:00:00Z,db-overprov-prod01,11.17,18.42,260.47,310.93,118.89,236.6,500.0,1606,24.0
2026-07-23T00:00:00Z,i-0nonprod998877,16.45,20.23,85.16,42.55,13.54,30.9,80.0,940,24.0
2026-07-23T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,24.7,26.07,116.0,156,24.0
2026-07-23T00:00:00Z,i-0prodapp0123,38.73,43.73,1333.33,5333.33,666.67,533.33,200.0,13333,24.0
2026-07-23T00:00:00Z,i-0spike991122,19.91,29.13,174.4,255.28,67.04,96.54,100.0,743,24.0
2026-07-23T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-23T00:00:00Z,i-0heavyworker01,92.51,86.32,6031.24,23538.29,4021.01,4392.6,1000.0,56002,24.0
2026-07-24T00:00:00Z,i-0dev123456789a,5.63,17.72,10.43,46.22,6.37,9.79,50.0,192,24.0
2026-07-24T00:00:00Z,db-overprov-prod01,13.44,21.79,469.07,475.93,165.73,234.5,500.0,2628,24.0
2026-07-24T00:00:00Z,i-0nonprod998877,15.9,20.91,59.55,24.6,26.49,23.25,80.0,1121,24.0
2026-07-24T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,12.34,12.86,118.0,252,24.0
2026-07-24T00:00:00Z,i-0prodapp0123,39.2,44.2,1375.0,5500.0,687.5,550.0,200.0,13750,24.0
2026-07-24T00:00:00Z,i-0spike991122,17.01,25.73,264.37,241.25,54.07,54.24,100.0,794,24.0
2026-07-24T00:00:00Z,i-0newdeploy77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026-07-24T00:00:00Z,i-0heavyworker01,87.19,87.19,14472.49,24790.02,5013.51,2816.91,1000.0,44175,24.0
2026-07-25T00:00:00Z,i-0dev123456789a,5.22,18.91,26.97,46.25,6.67,12.39,50.0,51,24.0
2026-07-25T00:00:00Z,db-overprov-prod01,10.34,18.71,270.52,689.53,249.21,216.67,500.0,2943,24.0
2026-07-25T00:00:00Z,i-0nonprod998877,4.43,28.69,37.89,97.06,10.36,39.1,80.0,23,24.0
2026-07-25T00:00:00Z,vol-0storagebloat01,0.0,0.0,0.0,0.0,20.55,29.86,120.0,114,24.0
2026-07-25T00:00:00Z,i-0prodapp0123,39.67,44.67,1416.67,5666.67,708.33,566.67,200.0,14166,24.0
