timestamp,account_id,region,service,resource_id,resource_type,usage_type,usage_quantity,cost,currency,environment,application
2026-07-15T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.6465,USD,dev,Analytics API Dev
2026-07-15T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,47.6834,USD,production,Customer DB
2026-07-15T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,16.1198,USD,test,QA Test Server
2026-07-15T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,100.0,0.2695,USD,staging,Log Archive Storage
2026-07-15T00:00:00Z,123456789012,us-east-1,EC2,i-0prodapp0123,c5.2xlarge,Hrs,24.0,22.0924,USD,production,Core Web App
2026-07-15T00:00:00Z,123456789012,us-west-1,EC2,i-0spike991122,c5.4xlarge,Hrs,24.0,5.8186,USD,dev,Batch Experiment Server
2026-07-15T00:00:00Z,123456789012,eu-west-1,EC2,i-0newdeploy77,m5.xlarge,Hrs,0.0,0.0,USD,production,Payment Gateway v2
2026-07-15T00:00:00Z,123456789012,us-east-1,EC2,i-0heavyworker01,c5n.9xlarge,Hrs,24.0,132.586,USD,production,Data Processing Cluster
2026-07-16T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.6758,USD,dev,Analytics API Dev
2026-07-16T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,47.8887,USD,production,Customer DB
2026-07-16T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,15.9447,USD,test,QA Test Server
2026-07-16T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,102.0,0.1731,USD,staging,Log Archive Storage
2026-07-16T00:00:00Z,123456789012,us-east-1,EC2,i-0prodapp0123,c5.2xlarge,Hrs,25.0,23.2321,USD,production,Core Web App
2026-07-16T00:00:00Z,123456789012,us-west-1,EC2,i-0spike991122,c5.4xlarge,Hrs,24.0,6.0827,USD,dev,Batch Experiment Server
2026-07-16T00:00:00Z,123456789012,eu-west-1,EC2,i-0newdeploy77,m5.xlarge,Hrs,0.0,0.0,USD,production,Payment Gateway v2
2026-07-16T00:00:00Z,123456789012,us-east-1,EC2,i-0heavyworker01,c5n.9xlarge,Hrs,24.0,133.9854,USD,production,Data Processing Cluster
2026-07-17T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.471,USD,dev,Analytics API Dev
2026-07-17T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,47.7493,USD,production,Customer DB
2026-07-17T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,16.3849,USD,test,QA Test Server
2026-07-17T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,104.0,0.2146,USD,staging,Log Archive Storage
2026-07-17T00:00:00Z,123456789012,us-east-1,EC2,i-0prodapp0123,c5.2xlarge,Hrs,26.0,24.2259,USD,production,Core Web App
2026-07-17T00:00:00Z,123456789012,us-west-1,EC2,i-0spike991122,c5.4xlarge,Hrs,24.0,6.0157,USD,dev,Batch Experiment Server
2026-07-17T00:00:00Z,123456789012,eu-west-1,EC2,i-0newdeploy77,m5.xlarge,Hrs,0.0,0.0,USD,production,Payment Gateway v2
2026-07-17T00:00:00Z,123456789012,us-east-1,EC2,i-0heavyworker01,c5n.9xlarge,Hrs,24.0,137.1644,USD,production,Data Processing Cluster
2026-07-18T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.4989,USD,dev,Analytics API Dev
2026-07-18T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,48.4083,USD,production,Customer DB
2026-07-18T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,16.0426,USD,test,QA Test Server
2026-07-18T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,106.0,0.3094,USD,staging,Log Archive Storage
2026-07-18T00:00:00Z,123456789012,us-east-1,EC2,i-0prodapp0123,c5.2xlarge,Hrs,27.0,24.7858,USD,production,Core Web App
2026-07-18T00:00:00Z,123456789012,us-west-1,EC2,i-0spike991122,c5.4xlarge,Hrs,24.0,5.8361,USD,dev,Batch Experiment Server
2026-07-18T00:00:00Z,123456789012,eu-west-1,EC2,i-0newdeploy77,m5.xlarge,Hrs,0.0,0.0,USD,production,Payment Gateway v2
2026-07-18T00:00:00Z,123456789012,us-east-1,EC2,i-0heavyworker01,c5n.9xlarge,Hrs,24.0,135.0726,USD,production,Data Processing Cluster
2026-07-19T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.5221,USD,dev,Analytics API Dev
2026-07-19T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,47.8492,USD,production,Customer DB
2026-07-19T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,16.4391,USD,test,QA Test Server
2026-07-19T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,108.0,0.3207,USD,staging,Log Archive Storage
2026-07-19T00:00:00Z,123456789012,us-east-1,EC2,i-0prodapp0123,c5.2xlarge,Hrs,28.0,25.1717,USD,production,Core Web App
2026-07-19T00:00:00Z,123456789012,us-west-1,EC2,i-0spike991122,c5.4xlarge,Hrs,24.0,5.8643,USD,dev,Batch Experiment Server
2026-07-19T00:00:00Z,123456789012,eu-west-1,EC2,i-0newdeploy77,m5.xlarge,Hrs,0.0,0.0,USD,production,Payment Gateway v2
2026-07-19T00:00:00Z,123456789012,us-east-1,EC2,i-0heavyworker01,c5n.9xlarge,Hrs,24.0,136.4789,USD,production,Data Processing Cluster
2026-07-20T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.5308,USD,dev,Analytics API Dev
2026-07-20T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,48.4405,USD,production,Customer DB
2026-07-20T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,16.4782,USD,test,QA Test Server
2026-07-20T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,110.0,0.3636,USD,staging,Log Archive Storage
2026-07-20T00:00:00Z,123456789012,us-east-1,EC2,i-0prodapp0123,c5.2xlarge,Hrs,29.0,26.4003,USD,production,Core Web App
2026-07-20T00:00:00Z,123456789012,us-west-1,EC2,i-0spike991122,c5.4xlarge,Hrs,24.0,5.8678,USD,dev,Batch Experiment Server
2026-07-20T00:00:00Z,123456789012,eu-west-1,EC2,i-0newdeploy77,m5.xlarge,Hrs,0.0,0.0,USD,production,Payment Gateway v2
2026-07-20T00:00:00Z,123456789012,us-east-1,EC2,i-0heavyworker01,c5n.9xlarge,Hrs,24.0,132.8405,USD,production,Data Processing Cluster
2026-07-21T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.56,USD,dev,Analytics API Dev
2026-07-21T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,47.5359,USD,production,Customer DB
2026-07-21T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,16.1161,USD,test,QA Test Server
2026-07-21T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,112.0,0.2418,USD,staging,Log Archive Storage
2026-07-21T00:00:00Z,123456789012,us-east-1,EC2,i-0prodapp0123,c5.2xlarge,Hrs,30.0,27.6229,USD,production,Core Web App
2026-07-21T00:00:00Z,123456789012,us-west-1,EC2,i-0spike991122,c5.4xlarge,Hrs,24.0,5.8341,USD,dev,Batch Experiment Server
2026-07-21T00:00:00Z,123456789012,eu-west-1,EC2,i-0newdeploy77,m5.xlarge,Hrs,0.0,0.0,USD,production,Payment Gateway v2
2026-07-21T00:00:00Z,123456789012,us-east-1,EC2,i-0heavyworker01,c5n.9xlarge,Hrs,24.0,133.9377,USD,production,Data Processing Cluster
2026-07-22T00:00:00Z,123456789012,us-east-1,EC2,i-0dev123456789a,t3.xlarge,Hrs,24.0,14.5641,USD,dev,Analytics API Dev
2026-07-22T00:00:00Z,123456789012,us-east-1,RDS,db-overprov-prod01,db.r5.2xlarge,Hrs,24.0,47.856,USD,production,Customer DB
2026-07-22T00:00:00Z,123456789012,us-west-2,EC2,i-0nonprod998877,m5.large,Hrs,24.0,16.1845,USD,test,QA Test Server
2026-07-22T00:00:00Z,123456789012,us-east-1,EBS,vol-0storagebloat01,gp3,GB-Mo,114.0,0.2386,USD,staging,Log Archive Storage
